医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所,,
医療法人社団創福会　ふくろうクリニック自由が丘,,158-0083,03-3701-3351,,,1,,,,世田谷区,13112,奥沢,6-20-23　,フォーラム自由が丘1階・2階,1,,1,,1,1,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,,,奥沢6-20-23　フォーラム自由が丘1階・2階,35.60441,139.66518
グランハート透析クリニック,,195-0074,042-789-1881,,,1,,,,町田市,13209,山崎町,Feb-55,グランハート クリニックモール2階 B-206,,,1,1,,,,8:00~10:00,12:00~14:00,8:00~10:00,12:00~14:00,8:00~10:00,12:00~14:00,8:00~10:00,12:00~14:00,8:00~10:00,12:00~14:00,8:00~10:00,12:00~14:00,8:00~10:00,12:00~14:00,英語,,山崎町2055-2 グランハート クリニックモール2階 B-206,35.57619,139.43544
双泉会クリニックすぎなみ,,166-0004,03-6383-5642,,,1,,,,杉並区,13115,阿佐谷南,３-２-３４ ,201,,,1,1,,,,,13:00~17:00,,13:00~17:00,,13:00~17:00,,13:00~17:00,,13:00~17:00,,,,,,,阿佐谷南３-２-３４ ２０１,35.70084,139.63519
医療法人社団成守会 はせがわ病院,,116-0014,03-3807-8866,,,1,,,,荒川区,13118,東日暮里,5-45-7,,1,,1,1,,1,,,15:00~16:00,,15:00~16:00,,15:00~16:00,,15:00~16:00,,15:00~16:00,,,,,,,東日暮里5-45-7,35.72835,139.77452
むらい内科・循環器クリニック,,113-0022,03-3822-8010,,,1,,,,文京区,13105,千駄木,3-43-3 ,ATK千駄木ビル1階,,,,,,,,,,,,,,,,,,,,,,,,千駄木3-43-3 ATK千駄木ビル1階,35.7283,139.76395
医療法人社団成守会 成守会クリニック,,111-0036,03-3847-8866,,,1,,,,台東区,13106,松が谷,3-18-5,,1,,1,1,,1,,,16:00~17:00,,16:00~17:00,,16:00~17:00,,,,16:00~17:00,,,,,,1,松が谷3-18-5,35.71646,139.78883
高田馬場内科・皮膚科クリニック,,169-0051,03-3207-1177,https://medical.apokul.jp/web/84/reservations/add,,1,1,,,新宿区,13104,西早稲田,2-18-20VORT西早稲田1階,,1,,,,,1,,9:00~12:00,16:00~20:00,,,9:00~12:00,16:00~20:00,9:00~12:00,16:00~20:00,,16:00~20:00,9:00~12:00,16:00~20:00,9:00~12:00,16:00~20:00,日本語のみ,1,西早稲田2-18-20VORT西早稲田1階,35.71054,139.71118
磯医院,,116-0003,03-3807-8171,,,1,,,,荒川区,13118,南千住,1-56-10 ,本館１階,,,,,,,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,,9:00~12:00,13:00~17:00,9:00~12:00,13:00~17:00,9:00~12:00,,,,日本語のみ,,南千住1-56-10 本館１階,35.7335,139.79274
医療法人社団 秀慶会 中目黒四家クリニック,,153-0051,03-3711-4805,,,1,,,,目黒区,13110,上目黒,1-18-4 ,セルジエ301,1,,1,,1,1,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,,,12:00~13:00,18:00~19:00,,,,,,,上目黒1-18-4 セルジエ301,35.64547,139.69864
古里診療所,,198-0105,0428-85-8757,,,1,,,,西多摩郡奥多摩町,13221,小丹波,82番地,,1,,1,1,,1,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,12:00~14:00,,12:00~14:00,,,,,,,小丹波82番地,35.81846,139.1485
ふかざわクリニック,,182-0025,042-444-3170,,1,1,,1,1,調布市,13208,多摩川,5-15-5プレセントM203,,1,,1,1,,1,,12:00~13:00,17:30~18:30,,,12:00~13:00,17:30~18:30,12:00~13:00,,12:00~13:00,17:30~18:30,12:00~13:00,,,,,,多摩川5-15-5プレセントM203,35.64371,139.53706
せいせき耳鼻咽喉科,,206-0011,042-401-8735,,,1,1,1,1,多摩市,13224,関戸,１-１-５ザ・スクエア2階,,,,,,,,,,12:30~13:00,,12:30~13:00,,,,12:30~13:00,,12:30~13:00,,12:30~13:00,,,,1,関戸１-１-５ザ・スクエア2階,35.6516,139.44586
村上内科,,145-0066,03-3728-2113,,1,1,1,,,大田区,13111,南雪谷,2005/11/7,,1,,1,1,1,1,,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,9:00~12:00,15:30~18:30,,,9:00~12:00,15:30~18:30,9:00~11:00,,,,,,南雪谷5-11-7,35.58909,139.68851
豊川小児科内科医院,,194-0001,042-795-4465,,1,1,1,1,1,町田市,13209,つくし野,２-１８-１８,,1,,1,1,,1,,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,11:00~12:00,17:00~18:00,10:00~12:00,,11:00~12:00,17:00~18:00,10:00~12:00,,,,,,つくし野２-１８-１８,35.52711,139.4828
北多摩生協診療所,,189-0014,042-393-5903,,1,1,,,,東村山市,13213,本町,4-2-32 ,ドルチェ久米川1階,1,,,,,1,,8:40~12:00,,,,8:40~12:00,,,,8:40~12:00,,8:40~12:00,,,,対応不可,,本町4-2-32 ドルチェ久米川1階,35.75197,139.47026
立正佼成会附属 佼成病院,,166-0012,03-3383-1281,,1,1,1,,,杉並区,13115,和田二丁目,25番1号,,1,,,1,,,,8:30~16:30,,8:30~16:30,,8:30~16:30,,8:30~16:30,,8:30~16:30,,8:30~12:30,,,,,,和田二丁目25番1号,35.68938,139.65633
"医療法人社団榊原厚生会榊原サピアタワークリニック",,100-0005,03-5288-0011,,,1,,,,千代田区,13101,丸の内,１丁目７-１２サピアタワー7階,,,,1,,1,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,日本語のみ,,丸の内１丁目７-１２サピアタワー7階,35.6835,139.76794
医療法人社団伸愛会 いいづか小児科,,133-0061,03-5243-5888,,1,1,,1,,江戸川区,13123,篠崎町,７-２４-７-２階,,1,,,1,,1,,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,11:00~12:00,16:00~17:00,,,11:00~12:00,16:00~17:00,10:30~11:30,,,,,,篠崎町７-２４-７-２階,35.70452,139.90448
曙橋よつばファミリークリニック,,162-0064,03-5315-0155,,1,1,1,1,1,新宿区,13104,市谷仲之町,"3-45市ヶ谷仲之町ヒルズクレスト1階",,1,,1,1,,,,9:30~12:00,15:00~18:00,9:30~12:00,15:00~18:00,9:30~12:00,,,,9:30~12:00,15:00~18:00,9:30~13:00,,9:30~13:00,,,,"市谷仲之町3-45市ヶ谷仲之町ヒルズクレスト1階",35.69503,139.72176
